,prediction breathing-shallow,y_testbreathing-shallow
0,1.0,0
1,0.0,0
2,0.0,0
3,1.0,0
4,0.0,0
5,1.0,0
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,1.0,0
11,0.0,0
12,0.0,0
13,0.0,0
14,1.0,0
15,1.0,0
16,0.0,0
17,1.0,0
18,1.0,0
19,0.0,0
20,1.0,0
21,1.0,0
22,0.0,0
23,0.0,0
24,0.0,0
25,0.0,0
26,1.0,0
27,1.0,0
28,1.0,0
29,0.0,0
30,0.0,0
31,0.0,0
32,1.0,1
33,0.0,1
34,0.0,1
35,1.0,1
36,0.0,1
37,0.0,1
38,1.0,1
39,0.0,1
40,0.0,1
41,0.0,1
42,0.0,1
43,1.0,1
44,1.0,1
45,1.0,1
46,1.0,1
47,0.0,1
48,1.0,1
49,0.0,1
50,0.0,1
51,0.0,1
52,0.0,1
53,1.0,1
54,1.0,1
55,0.0,1
56,0.0,1
57,0.0,1
58,1.0,1
59,1.0,1
60,0.0,1
61,0.0,1
62,1.0,1
63,1.0,1
64,0.0,1
65,0.0,1
66,0.0,1
67,0.0,1
68,0.0,1
69,0.0,1
70,1.0,1
71,0.0,1
72,0.0,1
